time data1 data2 difference
0 9 3 -6
1 14 -1 -15
2 0 -5 -5
3 0 1 1
4 0 5 5
5 0 5 5
6 -1 4 5
7 -2 3 5
8 -2 2 4
9 -1 0 1
10 0 -5 -5
11 4 -9 -13
12 9 -10 -19
13 14 -11 -25
14 15 -11 -26
15 20 -10 -30
16 24 -9 -33
17 25 -8 -33
18 29 -3 -32
19 29 -2 -31
20 29 3 -26
21 27 4 -23
22 23 9 -14
23 22 10 -12
24 17 11 -6
25 15 12 -3
26 13 12 -1
27 12 12 0
28 11 12 1
29 11 11 0
30 12 11 -1
31 16 10 -6
32 16 9 -7
33 17 8 -9
34 18 7 -11
35 19 7 -12
36 19 6 -13
37 17 7 -10
38 12 8 -4
39 8 9 1
40 4 14 10
41 2 15 13
42 0 15 15
43 -1 15 16
44 -5 14 19
45 -6 13 19
46 -10 9 19
47 -11 7 18
48 -17 3 20
49 -18 1 19
50 -22 -3 19
51 -23 -7 16
52 -28 -12 16
53 -28 -17 11
54 -29 -23 6
55 -30 -24 6
56 -34 -25 9
57 -35 -26 9
58 -40 -26 14
59 -41 -25 16
60 -41 -23 18
61 -42 -22 20
62 -43 -20 23
63 -44 -20 24
64 -45 -21 24
65 -46 -25 21
66 -47 -25 22
67 -48 -29 19
68 -48 -30 18
69 -48 -31 17
70 -48 -37 11
71 -48 -41 7
72 -48 -42 6
73 -48 -48 0
74 -48 -49 -1
75 -48 -54 -6
76 -48 -55 -7
77 -48 -56 -8
78 -48 -57 -9
79 -48 -57 -9
80 -49 -57 -8
81 -50 -56 -6
82 -51 -55 -4
83 -52 -54 -2
84 -53 -53 0
85 -54 -51 3
86 -54 -50 4
87 -54 -50 4
88 -54 -50 4
89 -54 -51 3
90 -53 -56 -3
91 -52 -57 -5
92 -51 -58 -7
93 -51 -62 -11
94 -51 -62 -11
95 -50 -62 -12
96 -49 -61 -12
